wl,n,k
0.88636,2.234,0.050462
0.89696,2.2326,0.050196
0.90782,2.2312,0.049932
0.91895,2.2298,0.04967
0.93035,2.2284,0.04941
0.94203,2.227,0.049152
0.95402,2.2257,0.048896
0.96631,2.2244,0.048642
0.97893,2.223,0.04839
0.99187,2.2217,0.04814
